BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
CBEB8,CB8R09A,5,5,15,Default,0.3,0.0,21.02,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8R09B,5,5,15,Default,0.43,0.0,21.14,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8R09C,4,4,11,Default,0.44,0.0,29.04,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8R90A,4,4,11,Default,0.63,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8R90B,4,4,11,Default,0.27,0.0,29.31,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGLHG93C,4,4,11,Default,0.43,0.0,29.14,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9D74C,3,3,10,Default,0.54,0.0,35.8,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9D80A,3,3,10,Default,0.18,0.0,44.0,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O90C,4,4,11,Default,0.25,0.0,28.33,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O91A,3,3,10,Default,0.65,0.0,42.64,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O91B,4,4,11,Default,0.43,0.0,27.41,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O91C,4,4,11,Default,0.37,0.0,28.05,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O99A,25,25,50,Ti: 1.1-1.3,1.18,0.0,64.3,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O99B,3,3,10,Default,0.69,0.0,42.94,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9O99C,10,10,20,Ti: 1-1.1,1.03,0.0,108.84,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9P01A,3,3,10,Default,0.41,0.0,41.56,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0610B,3,3,10,Default,0.47,0.0,44.58,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0G93C,2,2,10,Default,0.46,0.0,53.63,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GB9A,4,4,11,Default,0.4,0.0,28.01,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GB9B,3,3,10,Default,0.78,0.0,35.16,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GB9C,4,4,11,Default,0.29,0.0,28.04,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GI5A,4,4,11,Default,0.28,0.0,28.35,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GI5B,4,4,11,Default,0.27,0.0,28.05,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0GI5C,4,4,11,Default,0.35,0.0,28.3,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0H60A,3,3,10,Default,0.34,0.0,36.93,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0Q39B,3,3,10,Default,0.29,0.0,44.52,PLANNED,NA,2025-12-10 14:54:56
CBEC1,CC1B29A,3,3,10,Default,0.33,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEC1,CC1B29B,4,4,11,Default,0.31,0.0,29.3,PLANNED,NA,2025-12-10 14:54:56
CBEC1,CC1B29C,3,3,10,Default,0.48,0.0,35.39,PLANNED,NA,2025-12-10 14:54:56
CBEC1,CC1B59A,3,3,10,Default,0.32,0.0,44.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7552A,4,4,11,Default,0.28,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7552B,5,5,14,Default,0.19,0.0,21.87,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7552C,5,5,15,Default,0.43,0.0,21.29,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7555A,5,5,15,Default,0.43,0.0,20.05,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7555B,5,5,15,Default,0.49,0.0,20.17,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7555C,5,5,14,Default,0.3,0.0,21.85,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGANW98B,4,4,11,Default,0.36,0.0,29.75,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGANW98C,4,4,11,Default,0.42,0.0,29.43,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGPRTD2A,4,4,11,Default,0.93,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGPRTD2B,4,4,11,Default,0.64,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGPRTD2C,25,25,50,Ti: 1.1-1.3,1.19,0.0,28.1,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGPRTD3A,4,4,11,Default,0.56,0.0,28.46,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CGPRTD3B,4,4,11,Default,0.85,0.0,28.83,PLANNED,NA,2025-12-10 14:54:56
