LINK_ID,LINK_CODE,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,LINK_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,PO_STATUS,SITECODE,OLD_SITECODE,SITE_NAME,PHASE,ORIGIN,HO_SITECODE,HO_SITE_NAME,REGION,INTERNAL_REMARKS,CEP_EXECUTION_DATE,POP_STATUS,LOCK_IN_CEP_POP_REMARKS,EXPIRE_DATE,TERMINATION_DATE,TERMINATION_STATUS,CLUSTER_NAME_CEP,PAT_DATE,PAT_STATUS,LAST_INVOICE,LOCK_IN_STATUS,FIBER_MASTER_PLAN,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,USER
101195,SCL02386,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTLD7,,District Judges Court_Ctg_IBS,Single Lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, ,8/1/2021,1/1/1970,, ,8/2/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101196,SCL02387,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,250,86,Yes,CGKTLG8,CGKTL08,Chawkbazar_Reloc,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,11/15/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101197,SCL02388,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTLH5,,Osman Manjil_IBS+LH,Single Lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,7/28/2017,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101198,SCL02390,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTLL1,,Jamal Khan 2,Single Lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, ,2/14/2025,1/1/1970,, ,6/20/2017,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101199,SCL02391,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTLL9,,Chief Judicial Magistrate Court_Ctg,Single Lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,8/2/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101200,SCL02404,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,1350,86,Yes,CGPCH12,,Atorerdipo,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,1/11/2025,1/1/1970,, ,9/11/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101201,SCL02405,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,580,86,Yes,CGPCH14,,Rupabad,Phase#2,Robi,CGDMG30,Akhteruzzaman,Chittagong Metro, ,,, ,1/11/2025,1/1/1970,, ,9/11/2014,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101202,SCL02406,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGPCHC2,CGPCH18,Chosma Hill_Reloc,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,9/15/2014,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101203,SCL02407,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,250,86,Yes,CGPCH20,,Hill_View_2,Phase#2,Robi,CGDMG31,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/27/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101204,SCL02408,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,360,86,Yes,CGPCH21,,Probortok mor,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/15/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
