BSC,CELL,THRAV_P,THRVP_P,THRDV_P,THRAV_C,THRVP_C,THRDV_C,RULES_APPLIED,MaxTi,MaxCong,MaxTch,DATA_OF,ENM,COMMAND,EXECUTION,LOG,EXECUTION_TIME
DBEA1,CPSRT30A,8,8,23,24,24,47,Default,0.28,0.0,13.32,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1064A,3,3,10,4,4,11,Default,0.25,0.0,43.76,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1064B,5,5,15,3,3,7,Default,0.39,0.0,21.05,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1064C,4,4,11,4,4,12,Default,0.24,0.0,29.05,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1096A,3,3,10,3,3,9,Default,0.7,0.0,35.78,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1A2IC,3,3,10,9,9,17,Default,0.84,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1FW4C,3,3,10,3,3,7,Default,0.7,0.0,42.89,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1FW6A,10,10,20,2,2,5,Cong: >0-2,0.3,0.1,59.94,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1FW6B,15,15,29,4,4,11,Cong: >0-2,0.39,0.24,21.27,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1FW6C,4,4,11,3,3,9,Default,0.35,0.0,29.03,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1NF9B,8,8,22,8,8,23,Default,0.11,0.0,14.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1NJ3A,5,5,15,4,4,11,Default,0.31,0.0,21.09,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1NJ3B,8,8,22,5,5,15,Default,0.11,0.0,13.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1VU2A,8,8,22,7,7,20,Default,0.16,0.0,13.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZI7C,5,5,15,4,4,11,Default,0.19,0.0,21.19,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZI8A,5,5,15,4,4,11,Default,0.28,0.0,21.06,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZI8B,5,5,15,4,4,11,Default,0.13,0.0,21.36,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZI8C,5,5,15,11,11,21,Default,0.28,0.0,21.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZJ4A,5,5,15,4,4,11,Default,0.32,0.0,21.03,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZJ4B,5,5,15,4,4,11,Default,0.42,0.0,21.02,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZJ9A,8,8,22,4,4,11,Default,0.14,0.0,13.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1ZJ9B,5,5,15,4,4,11,Default,0.23,0.0,21.26,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB1A,5,5,14,5,5,15,Default,0.28,0.0,21.43,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB1C,8,8,22,23,23,45,Default,0.28,0.0,13.65,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB2B,8,8,22,8,8,23,Default,0.26,0.0,13.91,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB2C,8,8,22,23,23,46,Default,0.26,0.0,13.76,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5YF0C,5,5,14,5,5,15,Default,0.19,0.0,21.8,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5YF2A,6,6,16,5,5,15,Default,0.91,0.0,19.49,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5YF2C,12,12,23,4,4,12,Cong: >0-2,0.64,0.2,26.84,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5YF7A,5,5,15,16,16,31,Default,0.47,0.0,20.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G23A,2,2,10,2,2,6,Default,0.74,0.0,58.69,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G23B,4,4,11,11,11,21,Default,0.42,0.0,29.03,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK02C,3,3,10,3,3,7,Default,0.43,0.0,44.84,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK03A,2,2,10,2,2,5,Default,0.53,0.0,60.14,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK03B,2,2,10,2,2,5,Default,0.49,0.0,60.66,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK03C,3,3,10,3,3,7,Default,0.56,0.0,44.64,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK07B,3,3,10,3,3,7,Default,0.3,0.0,45.02,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXMHK07C,2,2,10,2,2,6,Default,0.38,0.0,52.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CMBRR49C,5,5,14,8,8,22,Default,0.06,0.0,22.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5SM9C,5,5,14,5,5,15,Default,0.14,0.0,21.51,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5SQ6B,4,4,11,5,5,15,Default,0.17,0.0,29.66,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY3C,4,4,10,4,4,11,Default,0.1,0.0,30.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY5A,8,8,23,8,8,24,Default,0.32,0.0,13.19,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY5B,8,8,22,8,8,23,Default,0.12,0.0,13.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY5C,8,8,22,8,8,23,Default,0.18,0.0,14.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY6A,40,40,80,6,6,16,Cong: 5-10,0.44,8.7,20.01,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY6B,40,40,80,5,5,15,Cong: 5-10,0.25,8.54,21.2,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA5,DA5XY6C,40,40,80,5,5,13,Cong: 5-10,0.19,8.26,29.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6XJ9B,4,4,11,5,5,14,Default,0.25,0.0,29.4,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6XL2B,8,8,24,8,8,23,Default,0.33,0.0,13.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6XL8A,4,4,11,11,11,21,Default,0.59,0.0,28.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXPKA42A,5,5,15,15,10,100,Default,0.9,0.0,20.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXPKA42B,4,4,11,15,10,100,Default,0.52,0.0,29.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CXPKA42C,4,4,11,15,10,100,Default,0.65,0.0,28.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42AN6A,8,8,23,8,8,22,Default,0.33,0.0,13.61,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42AN6B,8,8,22,8,8,23,Default,0.29,0.0,13.79,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42AN8C,8,8,24,9,9,25,Default,0.41,0.0,12.51,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42DCQA,4,4,11,12,12,23,Default,0.94,0.0,27.42,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42DCQB,4,4,11,11,11,22,Default,0.55,0.0,28.06,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE42,D42SS9B,6,6,16,6,6,17,Default,0.61,0.0,19.0,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE43,D43187F,5,5,15,4,4,11,Default,0.31,0.0,20.13,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE43,D43301A,3,3,10,9,9,17,Default,0.68,0.0,34.55,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE43,D43301B,5,5,15,17,17,33,Default,0.45,0.0,20.9,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE43,D43301C,5,5,14,5,5,15,Default,0.31,0.0,21.57,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE43,D43383A,5,5,15,4,4,11,Default,0.24,0.0,20.57,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXRPR26B,3,3,10,7,7,14,Default,0.31,0.0,44.29,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXRPR26C,3,3,10,7,7,14,Default,0.31,0.0,36.66,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXRPR44B,5,5,14,14,14,28,Default,0.24,0.0,21.6,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXRPR44C,8,8,23,8,8,24,Default,0.33,0.0,13.17,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXSDRE1C,5,5,15,15,15,29,Default,0.42,0.0,21.01,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEA5,LXSDRE4A,8,8,23,8,8,24,Default,0.26,0.0,13.14,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04CXIB,8,8,22,10,10,28,Default,0.13,0.0,13.72,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04CXYA,12,12,23,4,4,12,Ti: 1-1.1,1.03,0.0,27.03,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04CXYB,3,3,10,3,3,9,Default,0.56,0.0,35.87,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04CXYC,3,3,10,3,3,8,Default,0.72,0.0,43.69,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04FP3B,4,4,11,4,4,12,Default,0.91,0.0,27.85,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04FP3C,50,50,100,4,4,11,"Ti: 1.5-100, Cong: 10+ (Cg)",2.03,23.81,27.83,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04FP5B,4,4,11,4,4,12,Default,0.64,0.0,28.0,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04FP5C,40,40,80,4,4,12,Ti: 1.3-1.5,1.47,0.0,27.03,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04M84B,8,8,24,24,24,48,Default,0.42,0.0,12.85,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04M84C,6,6,16,16,16,32,Default,0.08,0.0,19.8,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04SS4B,8,8,23,8,8,24,Default,0.33,0.0,13.2,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE04,D04SS4C,5,5,15,6,6,17,Default,0.2,0.0,21.13,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05811C,8,8,22,8,8,23,Default,0.34,0.0,13.95,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05818C,8,8,23,8,8,24,Default,0.3,0.0,13.16,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05BMGB,50,50,100,10,10,28,Ti: 1.3-1.5,1.33,0.0,11.91,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05BOBL,8,8,22,18,18,52,Default,0.12,0.0,13.95,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05BXIA,8,8,23,8,8,22,Default,0.54,0.0,13.24,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05II5B,8,8,22,5,5,14,Default,0.2,0.0,13.9,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05LF1C,8,8,22,5,5,15,Default,0.16,0.0,14.0,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05LF2B,8,8,22,8,8,23,Default,0.28,0.0,13.78,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05LF3A,50,50,100,4,4,11,"Ti: 1.3-1.5, Cong: >0-2 (Ti)",1.36,0.26,12.23,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05LF3B,8,8,23,8,8,24,Default,0.54,0.0,13.1,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBE05,D05LF4A,8,8,23,9,9,25,Default,0.47,0.0,13.38,2025-12-10 14:54:56,DHK,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CA1O58A,8,8,23,5,5,15,Default,0.29,0.0,13.26,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CA1O58B,5,5,15,4,4,11,Default,0.3,0.0,20.92,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CA1O58C,5,5,15,4,4,11,Default,0.22,0.0,21.05,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CA1O59B,4,4,11,3,3,9,Default,0.57,0.0,27.8,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CA1O59C,3,3,10,3,3,9,Default,0.49,0.0,36.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CMCND02C,3,3,10,3,3,7,Default,0.41,0.0,43.54,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CMCND04A,3,3,10,3,3,7,Default,0.43,0.0,44.59,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CMCND04B,2,2,10,2,2,6,Default,0.38,0.0,51.63,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,CMCND04C,2,2,10,2,2,6,Default,0.3,0.0,59.39,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1A3VA,8,8,22,4,4,11,Default,0.17,0.0,13.86,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1A3VB,8,8,22,4,4,11,Default,0.11,0.0,13.72,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
