BSC,CELL,max ti,Max_Cong,Max Tch,Insert_DATE,ENM
CBEB0,CGMIR92A,0.41,0,44.93,12/10/2025 14:54,CTG
CBEB0,FNDGN40C,0.27,0,37.31,12/10/2025 14:54,CTG
CBEB0,FNDGN42A,0.13,0,29.43,12/10/2025 14:54,CTG
CBEB1,CB1R52C,0.14,0,14,12/10/2025 14:54,CTG
CBEB1,CB1R53A,0.32,0,20.4,12/10/2025 14:54,CTG
CBEB1,CB1R53B,0.38,0,21.29,12/10/2025 14:54,CTG
CBEB1,CB1R83A,0.38,0,27.95,12/10/2025 14:54,CTG
CBEB1,CB1R83B,0.3,0,20,12/10/2025 14:54,CTG
CBEB1,CB1R96A,0.12,0,14,12/10/2025 14:54,CTG
CBEB1,CGFTK27A,0.56,0,35.08,12/10/2025 14:54,CTG
CBEB1,CGFTKD4C,0.28,0,13.71,12/10/2025 14:54,CTG
CBEB1,KCPNC09C,0.18,0,28.18,12/10/2025 14:54,CTG
CBEB1,KCPNC12A,0.35,0,12.61,12/10/2025 14:54,CTG
CBEB1,KCPNC14B,0.17,0,13.86,12/10/2025 14:54,CTG
DBE69,D69T83A,0.17,0,20.39,12/10/2025 14:54,DHK
DBE69,D69T83B,0.42,0,20.01,12/10/2025 14:54,DHK
DBE69,D69T83C,0.36,0,20.01,12/10/2025 14:54,DHK
DBE69,D69YC5C,1.05,0,12.08,12/10/2025 14:54,DHK
DBE76,D76386A,0.79,0,13.01,12/10/2025 14:54,DHK
DBE76,D76AA1A,0.75,0,20.01,12/10/2025 14:54,DHK
DBE76,D76AA2B,0.35,0,13.75,12/10/2025 14:54,DHK
DBE76,D76E85C,0.37,0,13.06,12/10/2025 14:54,DHK
DBE76,D76E86A,0.45,0,13.15,12/10/2025 14:54,DHK
DBE76,D76E86B,0.38,0,13.5,12/10/2025 14:54,DHK
DBE76,D76E86C,0.45,0,13.14,12/10/2025 14:54,DHK
DBE76,D76IG6B,0.32,0,21.48,12/10/2025 14:54,DHK
DBE69,D69CCMC,0.3,0,13.11,12/10/2025 14:54,DHK
DBE69,D69CCNA,0.15,0,14,12/10/2025 14:54,DHK
DBE69,D69CZNC,0.68,0,28.79,12/10/2025 14:54,DHK
DBE69,D69CZOC,0.72,0,36,12/10/2025 14:54,DHK
DBE69,D69JR7B,0.28,0,21.48,12/10/2025 14:54,DHK
DBE69,D69JR7C,0.34,0,20.01,12/10/2025 14:54,DHK
DBE69,D69JR8A,0.8,0,27.9,12/10/2025 14:54,DHK
DBE69,D69JY0A,1.3,0,19.17,12/10/2025 14:54,DHK
DBE69,D69JY0B,0.95,0,36.95,12/10/2025 14:54,DHK
DBE69,D69JY0C,1,0,20.95,12/10/2025 14:54,DHK
DBE69,D69JY1A,0.17,0,12.85,12/10/2025 14:54,DHK
DBE69,D69YK1C,0.24,0,20.14,12/10/2025 14:54,DHK
DBE69,D69YK2B,0.23,0,20.09,12/10/2025 14:54,DHK
DBE69,D69YK2C,0.27,0,20.07,12/10/2025 14:54,DHK
DBE69,D69YK3A,0.24,0,13.23,12/10/2025 14:54,DHK
DBE69,D69YK4A,0.46,0,20.03,12/10/2025 14:54,DHK
DBE69,D69YK4B,0.46,0,12.06,12/10/2025 14:54,DHK
DBE86,D86NB6C,0.15,0,12.36,12/10/2025 14:54,DHK
DBE86,D86NC8A,1.23,0.16,12.62,12/10/2025 14:54,DHK
DBE87,D87C69B,0.27,0,33.48,12/10/2025 14:54,DHK
DBE87,D87C69C,0.17,0,21.56,12/10/2025 14:54,DHK
DBE87,D87CAAA,0.24,0,13.19,12/10/2025 14:54,DHK
DBE87,D87HJ5B,0.15,0,13.81,12/10/2025 14:54,DHK
DBE87,D87HJ5C,0.28,0,13.22,12/10/2025 14:54,DHK
DBE87,D87I15B,0.12,0,21.9,12/10/2025 14:54,DHK
DBE87,D87I92A,0.27,0,12.03,12/10/2025 14:54,DHK
DBE87,D87I92B,0.29,0,12.59,12/10/2025 14:54,DHK
DBE88,D88CCUB,0.3,0,13.85,12/10/2025 14:54,DHK
DBE88,D88CCUC,0.61,0,27.69,12/10/2025 14:54,DHK
DBE88,D88CEDA,0.3,0,13.01,12/10/2025 14:54,DHK
DBE88,D88CEDB,0.45,0,13.01,12/10/2025 14:54,DHK
DBE88,D88CTVA,0.51,0,21.01,12/10/2025 14:54,DHK
DBE88,D88KG9A,0.21,0,21.61,12/10/2025 14:54,DHK
DBE88,D88N09C,0.61,0,20.01,12/10/2025 14:54,DHK
DBE88,D88NF2C,0.42,0,29.02,12/10/2025 14:54,DHK
