bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB6,CB6919A,0.41,0.0,44.79
CBEB6,CB6919B,0.46,0.0,36.64
CBEB6,CB6H56A,0.44,0.0,29.0
CBEB6,CB6H56B,0.33,0.0,37.02
CBEB6,CB6H56C,0.3,0.0,36.88
CBEB6,CB6H59A,0.46,0.0,44.92
CBEB6,CB6H59B,0.45,0.0,36.72
CBEB6,CB6H59C,0.46,0.0,36.0
CBEB6,CB6H76L,0.67,0.0,37.0
CBEB6,CB6H80A,0.88,0.0,13.13
CBEB3,CGSKD30A,0.43,0.0,52.86
CBEB3,CGSKD30B,0.53,0.0,29.01
CBEB3,CGSKD30C,0.3,0.0,29.04
CBEB3,CGSKD30G,0.69,0.0,21.0
CBEB4,CB4126B,0.41,0.0,36.64
CBEB4,CB4126C,0.58,0.0,36.87
CBEB4,CB4192A,0.25,0.0,21.14
CBEB4,CB4192B,0.42,0.0,44.49
CBEB4,CB4192C,0.25,0.0,21.35
CBEB4,CB4194A,0.5,0.0,36.0
CBEB4,CGHTZ13A,0.44,0.0,35.86
CBEB4,CGHTZ13B,0.33,0.0,44.86
CBEB4,CGHTZ13C,0.48,0.0,29.0
CBEB4,CGHTZ15A,0.5,0.0,44.77
CBEB4,CGHTZ15B,0.37,0.0,21.16
CBEB4,CGHTZ15C,0.33,0.0,20.0
CBEB4,CGHTZH0B,0.36,0.0,49.79
CBEB4,CGHTZH0C,0.37,0.0,37.03
CBEB4,CGHTZH2A,0.48,0.0,29.0
CBEB4,CGHTZH2B,0.31,0.0,29.0
CBEB5,CB5B18B,0.42,0.0,28.87
CBEB5,CB5B18C,0.47,0.0,35.64
CBEB5,CB5B26A,0.57,0.0,29.0
CBEB5,CB5B26B,0.64,0.0,43.6
CBEB5,CB5B26C,0.58,0.0,37.0
CBEB5,CB5B34A,0.48,0.0,21.15
CBEB5,CB5M07A,0.2,0.0,21.91
CBEB5,CB5M07B,0.33,0.0,29.14
CBEB5,CB5M07C,0.22,0.0,29.26
